Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,2670,0,0.00E+00
,,,,2675,0,0.00E+00
,,,,2680,0,0.00E+00
,,,,2685,0,0.00E+00
,,,,2690,1.02E-29,7.09E-30
,,,,2695,7.10E-33,4.95E-33
,,,,2700,0,0.00E+00
,,,,2705,2.93E-42,2.04E-42
,,,,2710,1.12E-35,7.83E-36
,,,,2715,3.85E-26,2.69E-26
,,,,2720,5.61E-45,3.91E-45
,,,,2725,7.31E-22,5.09E-22
,,,,2730,6.09E-19,4.25E-19
,,,,2735,5.51E-21,3.84E-21
,,,,2740,2.34E-27,1.63E-27
,,,,2745,1.32E-23,9.22E-24
,,,,2750,1.68E-28,1.17E-28
